ΒΙΤΑΜΙΝΗ Β2 – ΡΙΒΟΦΛΑΒΙΝΗ,1639,1900,1899,,
ΒΙΤΑΜΙΝΗ Β3 – ΝΙΑΣΙΝΗ,1640,1900,1942,1899,
ΒΙΤΑΜΙΝΗ Β5 – ΠΑΝΤΟΘΕΝΙΚΟ ΟΞΥ,1641,1900,1573,1899,
ΒΙΤΑΜΙΝΗ Β6 – ΠΥΡΙΔΟΞΙΝΗ,1642,1900,1942,1899,
PABA – ΠΑΡΑΑΜΙΝΟΒΕΝΖΟΪΚΟ ΟΞΥ,1520,1900,1597,1899,
ΒΙΤΑΜΙΝΗ Β12 – ΚΟΒΑΛΑΜΙΝΗ,1638,1900,1574,1899,
ΒΙΟΤΙΝΗ,1635,1900,1816,,
ΦΟΛΙΚΟ ΟΞΥ,1934,1900,1574,1899,
ΣΥΝΔΥΑΣΜΟΙ ΣΥΜΠΛΕΓΜΑΤΟΣ Β,1900,,,,
VITΑΜΙΝΕ C,1554,1597,1899,,
VITΑΜΙΝΕ D,1555,1952,1899,,
VITΑΜΙΝΕ E,1556,1899,1899,,
VITΑΜΙΝΕ K,1952,1555,1899,,
ΣΥΝΔΥΑΣΜΟΙ ΒΙΤΑΜΙΝΩΝ,1899,1899,1897,1858,
"ΜΕΤΑΛΛΑ, ΙΧΝΟΣΤΟΙΧΕΙΑ & ΣΥΝΔΥΑΣΜΟΙ ΤΟΥΣ",1799,,,,
ΑΣΒΕΣΤΙΟ,1611,1897,,,
ΒΟΡΙΟ,1645,1897,,,
ΙΩΔΙΟ,1717,1897,,,
ΚΑΛΙΟ,1727,1897,,,
ΜΑΓΓΑΝΙΟ,1778,1897,,,
ΜΑΓΝΗΣΙΟ,1779,1897,,,
ΠΥΡΙΤΙΟ,1874,1897,,,
ΣΕΛΗΝΙΟ,1881,1897,,,
ΣΙΔΗΡΟΣ,1883,1897,,,
ΧΑΛΚΟΣ,1936,1897,,,
ΧΡΩΜΙΟ,1945,1897,,,
ΨΕΥΔΑΡΓΥΡΟΣ,1948,1897,,,
ΣΥΝΔΥΑΣΜΟΙ,1897,1858,,,
ΠΟΛΥΒΙΤΑΜΙΝΟΥΧΑ & ΣΥΜΠΛΕΓΜΑΤΑ,1858,1899,1897,,
ΕΙΔΙΚΑ ΣΥΜΠΛΗΡΩΜΑΤΑ,1682,,,,
ΥΑΛΟΥΡΟΝΙΚΟ,1920,1831,1659,,
ΚΟΛΑΓΟΝΟ,1737,1831,1697,,
Α-ΛΙΠΟΙΚΟ ΟΞΥ,1570,1812,,,
ΠΡΩΤΟΓΑΛΑ,1873,1630,,,
ΧΟΝΔΡΟΣ ΚΑΡΧΑΡΙΑ,1944,1831,,,
ΓΛΟΥΚΟΣΑΜΙΝΕΣ- ΧΟΝΔΡΟΙΤΙΝΗ -MSM,1659,1831,1920,,
ΣΥΝΕΝΖΥΜΟ Q10,1901,1597,,,
ΟΥΣΙΩΔΗ ΛΙΠΑΡΑ ΟΞΕΑ,1837,1942,,,
ΠΡΟΒΙΟΤΙΚΑ - ΠΡΕΒΙΟΤΙΚΑ,1863,1653,,,
ΜΕΛΑΤΟΝΙΝΗ,1797,1559,,,
CLA,1456,1892,,,
ΗΛΕΚΤΡΟΛΥΤΕΣ,1710,1618,1565,,
ΒΑΣΙΛΙΚΟΣ ΠΟΛΤΟΣ,1628,1689,,,
ΦΛΑΒΟΝΟΕΙΔΗ,1932,1933,,,
ΕΝΖΥΜΑ,1690,1844,,,
ΛΕΚΙΘΙΝΗ,1764,1892,,,
ΧΟΛΙΝΗ,1943,1892,,,
ΑΛΛΑ ΣΥΜΠΛΗΡΩΜΑΤΑ,1572,,,,
ΦΥΤΙΚΑ ΣΥΜΠΛΗΡΩΜΑΤΑ & ΒΟΤΑΝΑ,1935,,,,
AÇAI (ΜΟΥΡΟ),1425,1597,,,
AGNUS CASTUS (ΛΥΓΑΡΙΑ),1430,1672,,,
ALFA ALFA (ΤΡΙΦΥΛΛΙ),1431,1608,,,
ALOE (ΑΛΟΗ),1432,1653,,,
ANDROGRAPHIS,1433,,,,
ARTICHOKE (ΑΓΚΙΝΑΡΑ),1435,1844,,,
ASHWAGANDΗA,1436,1559,,,
ASTRAGALUS,1437,1630,,,
BILBERRY (ΜΥΡΤΙΛΛΟ),1439,1942,,,
BLACK COHOSH,1440,1686,,,
BUTCHER'S BROOM,1449,1933,,,
CAT'S CLAW,1451,1597,,,
CENTAURIUM (ΚΕΝΤΑΥΡΙΟ),1452,,,,
CHLORELLA (ΧΛΩΡΕΛΛΑ),1453,1597,,,
CINNAMON (ΚΑΝΕΛΛΑ),1454,1663,,,
CRANBERRY (ΚΡΑΝΑ),1459,1836,,,
DANDELION ROOT (ΠΙΚΡΑΛΙΔΑ),1460,1851,,,
DEVIL'S CLAW (ΑΡΠΑΓΟΦΥΤΟ),1461,1831,,,
DONG QUAI,1462,1672,,,
ECHINACEA (ΕΧΙΝΑΤΣΙΑ),1464,1630,,,
FENUGREEK (ΤΡΙΓΩΝΕΛΛΑ),1466,1942,,,
FEVERFEW,1467,1852,,,
GARLIC (ΣΚΟΡΔΟ),1470,1852,,,
GINGER (ΠΙΠΕΡΟΡΙΖΑ),1473,1844,,,
GINGKO BILOBA (ΤΖΙΝΓΚΟ ΜΠΙΛΟΜΠΑ),1474,1802,,,
